id,purpose,note,input_words,input_text,rephrased,fallback,duration_ms,nums_preserved,drug_check,status
1,chief_complaint,heavy grammar + wrong word order,19,patient he came hospital with chest pain since 3 day is very bad also left arm pain is going.,"Patient presented with chest pain of three-day duration, described as severe, associated with left arm pain.",False,4322,0/0,N/A,PASS
2,chief_complaint,colloquial + breath problem described wrong,17,"she is having problem in breathe since yesterday night, coughing also lot, phlegm yellowish colour is coming.",Patient presents with dyspnea and productive cough with yellow sputum since last night.,False,2375,0/0,N/A,PASS
3,chief_complaint,telegraphic / fragmented,11,fever. 5 days. headache. vomiting. no rash. child 8yr. not eating.,"Fever for 5 days, headache, vomiting; no rash. 8-year-old child with poor oral intake.",False,2534,0/0,N/A,PASS
4,chief_complaint,Hindi-English mix,23,"patient ko pet mein dard hai jo khana khane ke baad badh jaata hai, 2 din se hai, ulti bhi ho rahi hai.","Patient presents with epigastric pain that exacerbates after meals, of 2-day duration, associated with vomiting.",False,8775,0/0,N/A,PASS
5,chief_complaint,run-on sentence no punctuation,36,70 year old male with sudden weakness of right side of body and face drooping and speech is not coming properly since 2 ,"70-year-old male presenting with sudden right-sided weakness, facial droop, and dysarthria for 2 hours. Has a long-standing history of hypertension and diabetes mellitus.",False,3678,1/1,N/A,PASS
6,chief_complaint,spelling errors + informal,16,pt came with burining sensatin in urin since 2 dyas. frequncy increesed. no fevr. no dischrge.,"Patient presents with dysuria for two days, accompanied by increased urinary frequency. No fever or discharge noted.",False,10933,0/0,N/A,PASS
7,chief_complaint,already well-written (minimal change expected),15,Patient presents with progressive exertional dyspnea and bilateral pedal edema for the past 2 weeks.,Patient presents with progressive exertional dyspnea and bilateral pedal edema over the past 2 weeks.,False,2172,0/0,N/A,PASS
8,chief_complaint,double negatives + confusing structure,24,patient is not having no fever but she is not feeling well and headache is not going away since not less than 4 days.,Patient denies fever but reports feeling unwell with persistent headache lasting at least four days.,False,848,0/0,N/A,PASS
9,diagnosis,abbreviations + spelling mistakes,20,STEMI inferio wall suspected. pt has DM2 and HTN since 10yr. Kindey functon also afected. angioplasty done 2 yr back.,Acute ST-elevation myocardial infarction involving the inferior wall suspected. Patient has type 2 diabetes mellitus and hypertension of 10-year duration. Renal function is also impaired. Coronary ang,False,1619,1/1,N/A,PASS
10,diagnosis,very informal language,18,we think its TB. sputum test came positive 3 times. patient lost lot of weight. sugar also there.,Suspected tuberculosis. Sputum testing confirmed positive on three occasions. Patient has experienced significant weight loss. Diabetes mellitus is also present.,False,4770,0/0,N/A,PASS
